NAME,Temperature,Catalyst_Amount,Starting_Reagent,Solvent,Time,Base,strategy,Main_Product,Main_Impurity
TYPE,DATA,DATA,DATA,DATA,DATA,DATA,METADATA,DATA,DATA
0,45.0,0.575,1.41,0.255,5.800000000000001,2.3,LHS,,
1,51.0,0.625,1.59,0.225,10.600000000000001,2.7,LHS,,
2,49.0,0.325,1.29,0.28500000000000003,11.8,2.1,LHS,,
3,57.0,0.475,1.23,0.20500000000000002,13.0,3.5,LHS,,
4,41.0,0.675,1.77,0.265,14.200000000000001,3.7,LHS,,
5,47.0,0.7250000000000001,1.35,0.23500000000000001,4.6,3.9,LHS,,
6,53.0,0.525,1.65,0.245,9.4,2.9,LHS,,
7,43.0,0.7749999999999999,1.47,0.275,8.2,3.3000000000000003,LHS,,
8,55.0,0.425,1.53,0.295,7.0,2.5,LHS,,
9,59.0,0.375,1.71,0.21500000000000002,15.399999999999999,3.1,LHS,,
