NAME,Temperature,Catalyst_Amount,Starting_Reagent,Solvent,Time,Base,strategy
TYPE,DATA,DATA,DATA,DATA,DATA,DATA,METADATA
0,50.0,1.1045,1.415,0.2375,5.300000000000001,1.6,LHS
1,62.0,1.3035000000000003,1.685,0.1625,14.100000000000001,2.4000000000000004,LHS
2,58.0,0.1095,1.235,0.3125,16.300000000000004,1.2,LHS
3,74.0,0.7065,1.145,0.1125,18.5,4.0,LHS
4,42.0,1.5025,1.955,0.2625,20.700000000000003,4.4,LHS
5,54.0,1.7015000000000002,1.3250000000000002,0.1875,3.1,4.8,LHS
6,66.0,0.9055,1.775,0.2125,11.9,2.8,LHS
7,46.0,1.9004999999999999,1.5050000000000001,0.2875,9.700000000000001,3.6000000000000005,LHS
8,70.0,0.5075,1.5950000000000002,0.33749999999999997,7.5,2.0,LHS
9,78.0,0.30850000000000005,1.8650000000000002,0.1375,22.9,3.2,LHS
