,Temperature,Catalyst_Amount,Starting_Reagent,Solvent,Time,Base,strategy,Main_Product,Main_Impurity
,DATA,DATA,DATA,DATA,DATA,DATA,METADATA,DATA,DATA
0,50.0,1.1045,1.415,0.32,5.3,1.6,LHS,0.078,0.0
1,62.0,1.3035,1.685,0.2,14.1,2.4,LHS,0.561,0.0
2,58.0,0.1095,1.235,0.44,16.3,1.2,LHS,0.0,0.012
3,74.0,0.7065,1.145,0.12,18.5,4.0,LHS,0.383,0.0
4,42.0,1.5025,1.955,0.36,20.7,4.4,LHS,0.381,0.0
5,54.0,1.7015,1.325,0.24,3.1,4.8,LHS,0.318,0.0
6,66.0,0.9055,1.775,0.28,11.9,2.8,LHS,0.376,0.05
7,46.0,1.9005,1.505,0.4,9.7,3.6,LHS,0.25,0.0
8,70.0,0.5075,1.595,0.48,7.5,2.0,LHS,0.055,0.009
9,78.0,0.3085,1.865,0.16,22.9,3.2,LHS,0.304,0.007
10,76.754083,0.191858,1.907715,0.34594,23.311017,1.310837,Single-objective BayOpt,0.021,0.096
11,43.002271,0.297981,1.281598,0.196506,20.973093,3.026673,Single-objective BayOpt,0.0,0.009
12,73.17306987,1.415600511,1.439245153,0.254114921,11.72298119,2.228072935,Single-objective BayOpt,0.213,0.0
13,63.09364904,1.38947538,1.329109962,0.316752938,21.56447076,4.03110005,Single-objective BayOpt,0.583,0.0
14,54.02937777,0.473739717,1.885981015,0.217748378,19.49808847,3.115373087,Single-objective BayOpt,0.0065,0.0074
15,75.21764351,0.426928708,1.23260531,0.242359364,8.750204765,4.123034162,Single-objective BayOpt,0.0693,0.0269
16,79.651286,0.742025,1.353787,0.240649,6.966051,3.440772,Single-objective BayOpt,0.4536,0.0
17,43.0830362,0.563044631,1.318159397,0.241842079,17.30339425,1.72848515,Single-objective BayOpt,0.00433,0.00176
18,78.54535684,1.151092829,1.597481202,0.130759078,2.544866433,1.421383158,Single-objective BayOpt,0.07551,0.00163
19,66.46381958,0.989515308,1.480232456,0.200522819,10.40094277,4.135908927,Single-objective BayOpt,0.4564,0.00222
20,71.75272875,0.942837062,1.118531964,0.17764945,14.21703699,3.934166475,Single-objective BayOpt,0.50829,0.0
21,41.20897847,0.686212146,1.994635733,0.176171031,13.94536243,2.246510638,Single-objective BayOpt,0.0052,0.00351
22,50.59432636,0.42936312,1.88835644,0.347335793,20.3899733,3.578746487,Single-objective BayOpt,0.00646,0.01144
23,57.70729579984848,0.2566612325421076,1.9550559437148287,0.27090684738619863,19.387935856521707,2.8617393303055105,Single-objective BayOpt,,
